"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"202","Atooms to Moolecules Demo","Apr 6, 2012","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BitSits Games","BitSits Games"
"203","The Revenge of Shinobi","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
"212","Dynamite Headdy","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
"224","Colour Bind","Sep 24, 2012","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Finn Morgan","Puppy Punch Productions"
"226","Streets of Rage 3","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
"229","Test Drive: Ferrari Racing Legends","Dec 10, 2012","$19.99","14% (55%)","0 .. 20,000","00:00 (00:00)","Slightly Mad Studios","Evolved Games"
"231","Nancy Drew: The Deadly Device","Oct 23, 2012","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HeR Interactive, Inc.","HeR Interactive"
"233","Golden Axe III","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
"238","Aerofly FS 1 Flight Simulator","Oct 17, 2012","$19.99","20% (61%)","0 .. 20,000","00:00 (00:00)","IPACS","IPACS"
"242","Scary Girl","Apr 9, 2012","$6.99","25% (65%)","0 .. 20,000","00:00 (00:00)","TikGames","Square Enix"
"246","Wonder Boy in Monster World","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
"253","Phantasy Star IV: The End of the Millennium","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
"256","ACDSee 15","Dec 11, 2012","$49.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ACD Systems International Inc.","ACD Systems International Inc."
"259","ToeJam & Earl in Panic on Funkotron","Mar 14, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SEGA","SEGA"
"271","Luxor: Amun Rising HD","Sep 3, 2012","$9.99","N/A (N/A)","0 .. 20,000","00:01 (00:00)","MumboJumbo","MumboJumbo"
"279","Rotastic","Oct 11, 2012","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dancing Dots","Focus Home Interactive"
"280","Life in the Dorms","Sep 14, 2012","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Moment Games","Oh, a Rock! Studios"
"286","Phantasy Star III: Generations of Doom","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
"290","3DCoat 4.8","Oct 2, 2012","$99.99","90% (94%)","0 .. 20,000","00:00 (00:00)","Pilgway","Pilgway"
"292","Silo 2","Dec 19, 2012","$99.99","37% (73%)","0 .. 20,000","00:00 (00:00)","Nevercenter Ltd. Co.","Nevercenter Ltd. Co."
"297","Damage Inc. Pacific Squadron WWII","Aug 28, 2012","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Trickstar Games","Mad Catz"
"302","Monster Minis Extreme Off-Road","Jul 24, 2012","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mindwedge","Mindwedge"
"310","Beyond Oasis","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
"327","Space Ark","Mar 16, 2012","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strawdog Studios Ltd","Bounce Entertainment"
"329","Phantasy Star II","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
"333","Miner Wars Arena","Aug 28, 2012","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Keen Software House","Keen Software House"
"334","VectorMan 2","May 2, 2012","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","","SEGA"
"339","Sleeping Dogs: Ghost Pig","Nov 2, 2012","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","United Front Games","Square Enix"
"347","Nancy Drew: Tomb of the Lost Queen","May 16, 2012","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HeR Interactive","HeR Interactive"
"355","Bumbledore","Mar 15, 2012","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Nimbly Games","Nimbly Games"
"357","Adera","Aug 1, 2012","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","HitPoint Studios Inc.","HitPoint Studios Inc."
