"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"4","Dota 2","Jul 9, 2013","Free","66% (86%/90%)","100,000,000 .. 200,000,000","25:45 (12:33)","Valve","Valve"
"132","Warframe","Mar 25, 2013","Free","83% (92%/71%)","20,000,000 .. 50,000,000","17:05 (04:21)","Digital Extremes","Digital Extremes"
"39","War Thunder","Aug 15, 2013","Free","51% (80%/81%)","10,000,000 .. 20,000,000","10:08 (02:10)","Gaijin Entertainment","Gaijin Entertainment"
"55","PAYDAY 2","Aug 13, 2013","$9.99","58% (83%/79%)","10,000,000 .. 20,000,000","10:15 (02:26)","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB"
"12","Tomb Raider","Mar 4, 2013","$19.99","93% (95%/86%)","5,000,000 .. 10,000,000","03:12 (00:59)","Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux)","Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)"
"15","Path of Exile","Oct 23, 2013","Free","83% (92%/86%)","5,000,000 .. 10,000,000","11:52 (01:44)","Grinding Gear Games","Grinding Gear Games"
"101","Neverwinter","Dec 5, 2013","Free","47% (78%/74%)","5,000,000 .. 10,000,000","10:24 (02:39)","Cryptic Studios","Perfect World Entertainment"
"146","Age of Empires II HD","Apr 9, 2013","$19.99","90% (94%/68%)","5,000,000 .. 10,000,000","03:38 (01:47)","Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires","Microsoft Studios"
"1","BioShock Infinite","Mar 25, 2013","$29.99","93% (95%/94%)","2,000,000 .. 5,000,000","03:00 (01:02)","Irrational Games, Aspyr (Mac), Virtual Programming (Linux)","2K, Aspyr (Mac)"
"8","The Stanley Parable","Oct 17, 2013","$14.99","80% (91%/88%)","2,000,000 .. 5,000,000","03:03 (01:27)","Galactic Cafe","Galactic Cafe"
"13","Saints Row IV","Aug 19, 2013","$14.99","83% (92%/86%)","2,000,000 .. 5,000,000","02:49 (01:08)","Deep Silver Volition","Deep Silver"
"21","Papers, Please","Aug 8, 2013","$9.99","93% (95%/85%)","2,000,000 .. 5,000,000","01:56 (00:45)","Lucas Pope","3909"
"22","Trine 2: Complete Story","Jun 6, 2013","$19.99","93% (95%/84%)","2,000,000 .. 5,000,000","02:58 (01:42)","Frozenbyte","Frozenbyte"
"23","RIFT","Oct 24, 2013","Free","39% (74%/84%)","2,000,000 .. 5,000,000","01:41 (01:19)","Trion Worlds","Trion Worlds"
"28","Monaco: What's Yours Is Mine","Apr 24, 2013","$14.99","83% (92%/83%)","2,000,000 .. 5,000,000","00:58 (01:11)","Pocketwatch Games","Pocketwatch Games"
"44","Company of Heroes 2","Jun 25, 2013","$19.99","41% (75%/80%)","2,000,000 .. 5,000,000","05:49 (02:27)","Relic Entertainment, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)"
"47","Outlast","Sep 4, 2013","$19.99","95% (96%/80%)","2,000,000 .. 5,000,000","05:16 (00:33)","Red Barrels","Red Barrels"
"51","Brutal Legend","Feb 26, 2013","$14.99","90% (94%/80%)","2,000,000 .. 5,000,000","02:06 (01:21)","Double Fine Productions","Double Fine Productions"
"71","Sanctum 2","May 15, 2013","$14.99","87% (93%/77%)","2,000,000 .. 5,000,000","01:35 (01:00)","Coffee Stain Studios","Coffee Stain Publishing"
"80","Total War: ROME II - Emperor Edition","Sep 2, 2013","$59.95","28% (67%/76%)","2,000,000 .. 5,000,000","06:35 (03:00)","CREATIVE ASSEMBLY","SEGA"
"96","Star Conflict","Feb 27, 2013","Free","43% (76%/75%)","2,000,000 .. 5,000,000","05:17 (03:58)","Star Gem Inc.","Gaijin Entertainment"
"98","Batman: Arkham Origins","Oct 24, 2013","$19.99","60% (84%/74%)","2,000,000 .. 5,000,000","02:42 (01:23)","WB Games Montreal, Splash Damage","Warner Bros. Interactive Entertainment"
"103","Arma 3","Sep 12, 2013","$39.99","74% (89%/74%)","2,000,000 .. 5,000,000","12:24 (03:18)","Bohemia Interactive","Bohemia Interactive"
"111","Shadow Warrior","Sep 26, 2013","$39.99","87% (93%/73%)","2,000,000 .. 5,000,000","02:54 (01:31)","Flying Wild Hog","Devolver Digital"
"119","Amnesia: A Machine for Pigs","Sep 10, 2013","$19.99","25% (65%/72%)","2,000,000 .. 5,000,000","04:50 (06:20)","The Chinese Room","Frictional Games"
"164","The Bureau: XCOM Declassified","Aug 19, 2013","$19.99","27% (66%/66%)","2,000,000 .. 5,000,000","01:19 (01:23)","2K Marin","2K"
"313","RaceRoom Racing Experience","Feb 12, 2013","N/A","17% (58%)","2,000,000 .. 5,000,000","01:10 (00:34)","Sector3 Studios","Sector3 Studios, RaceRoom Entertainment AG"
"334","ORION: Prelude","Apr 16, 2013","$0.99","43% (76%)","2,000,000 .. 5,000,000","01:58 (02:53)","Spiral Game Studios","DANKIE"
"413","DayZ","Dec 16, 2013","$34.99","21% (61%)","2,000,000 .. 5,000,000","08:44 (04:14)","Bohemia Interactive","Bohemia Interactive"
"441","7 Days to Die","Dec 13, 2013","$24.99","49% (79%)","2,000,000 .. 5,000,000","09:38 (02:35)","The Fun Pimps","The Fun Pimps Entertainment LLC"
"494","DCS World Steam Edition","Mar 18, 2013","Free","43% (76%)","2,000,000 .. 5,000,000","02:56 (00:48)","Eagle Dynamics SA","The Fighter Collection"
"498","Cry of Fear","Apr 25, 2013","Free","63% (85%)","2,000,000 .. 5,000,000","02:59 (01:06)","Team Psykskallar","Team Psykskallar"
"512","Space Engineers","Oct 23, 2013","$24.99","68% (87%)","2,000,000 .. 5,000,000","06:57 (02:05)","Keen Software House","Keen Software House"
"2","FEZ","May 1, 2013","$9.99","83% (92%/91%)","1,000,000 .. 2,000,000","04:34 (03:50)","Polytron Corporation","Trapdoor"
"3","Deus Ex: Human Revolution - Director's Cut","Oct 25, 2013","$19.99","80% (91%/91%)","1,000,000 .. 2,000,000","05:24 (03:16)","Eidos Montreal, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)"
